nome,cpf,data_nascimento,sigla_orgao,id_evento,tipo_evento,data_evento,codigo_categoria,indicador_retificacao,numero_recibo
Paulo Rocha Lima,97726275154,1969-12-27,PGE,ESOC-PGE-00000001,admissao,1996-02-14,301,original,REC-1996-PGE-977262
Patrícia Duarte Rocha,03373000203,1962-05-19,SEAD,ESOC-SEAD-00000002,admissao,2020-03-05,301,original,REC-2020-SEAD-033730
Camila Barros Barbosa,47938508470,1969-03-03,SEAD,ESOC-SEAD-00000003,admissao,1999-02-28,301,original,REC-1999-SEAD-479385
Olívia Alves Melo,26400286500,1980-06-11,SEAD,ESOC-SEAD-00000004,admissao,2011-06-04,301,original,REC-2011-SEAD-264002
Rafael Machado Rocha,35503310373,1981-12-17,ECONOMIA,ESOC-ECONOMIA-00000005,admissao,2007-04-16,301,original,REC-2007-ECONOMIA-355033
Felipe Vieira Gomes,55839242683,1988-03-25,ECONOMIA,ESOC-ECONOMIA-00000006,admissao,2010-12-30,301,original,REC-2010-ECONOMIA-558392
Daniel Pereira Gomes,44139573341,2005-09-17,ECONOMIA,ESOC-ECONOMIA-00000007,admissao,2025-02-03,301,original,REC-2025-ECONOMIA-441395
Patrícia Cardoso Freitas,58039101123,1961-01-11,ECONOMIA,ESOC-ECONOMIA-00000008,admissao,2025-07-07,301,original,REC-2025-ECONOMIA-580391
Diego Ribeiro Fernandes,89363289800,2005-07-18,DETRAN,ESOC-DETRAN-00000009,admissao,2025-04-01,301,original,REC-2025-DETRAN-893632
Eduarda Fernandes Lima,99169391440,1967-01-24,DETRAN,ESOC-DETRAN-00000010,admissao,1998-11-04,301,original,REC-1998-DETRAN-991693
Diego Nunes Castro,14761923164,1978-01-17,SSP,ESOC-SSP-00000011,admissao,2010-01-10,301,original,REC-2010-SSP-147619
Carla Freitas Rodrigues,15691763377,1965-04-13,SSP,ESOC-SSP-00000012,admissao,2005-04-08,301,original,REC-2005-SSP-156917
Juliana Souza Alves,33687283186,1998-09-02,CBM,ESOC-CBM-00000013,admissao,2020-08-23,301,original,REC-2020-CBM-336872
Eduarda Nunes Machado,95672687113,1984-12-27,CBM,ESOC-CBM-00000014,admissao,2023-09-27,301,original,REC-2023-CBM-956726
Elisa Barbosa Vieira,17323271223,1965-04-05,CBM,ESOC-CBM-00000015,admissao,2002-05-21,301,original,REC-2002-CBM-173232
Tatiana Costa Correia,01081049073,1965-06-20,DGPP,ESOC-DGPP-00000016,admissao,2009-01-25,301,original,REC-2009-DGPP-010810
Gustavo Cavalcanti Pinto,48408718681,1982-02-01,DGPP,ESOC-DGPP-00000017,admissao,2001-11-13,301,original,REC-2001-DGPP-484087
Samuel Alves Rodrigues,09546723215,1960-11-01,DGPP,ESOC-DGPP-00000018,admissao,2015-07-23,301,original,REC-2015-DGPP-095467
Otávio Silva Machado,30349744505,1987-02-20,DGPP,ESOC-DGPP-00000019,admissao,2018-11-09,301,original,REC-2018-DGPP-303497
Quitéria Correia Ramos,12770398016,1990-10-05,DGPC,ESOC-DGPC-00000020,admissao,2013-04-29,301,original,REC-2013-DGPC-127703
Renata Lopes Machado,02627784161,1983-07-02,DGPC,ESOC-DGPC-00000021,admissao,2008-09-30,301,original,REC-2008-DGPC-026277
Paulo Alves Barros,44611288226,1963-07-31,DGPC,ESOC-DGPC-00000022,admissao,2011-01-19,301,original,REC-2011-DGPC-446112
Paulo Cardoso Ribeiro,60472420224,1989-10-20,DGPC,ESOC-DGPC-00000023,admissao,2025-05-07,301,original,REC-2025-DGPC-604724
Felipe Freitas Cardoso,56482969160,1979-12-31,DGPC,ESOC-DGPC-00000024,admissao,1999-01-22,301,original,REC-1999-DGPC-564829
Quitéria Oliveira Alves,43288809770,1976-01-08,DGPC,ESOC-DGPC-00000025,admissao,2021-01-16,301,original,REC-2021-DGPC-432888
Patrícia Almeida Araújo,61836929056,1999-02-13,SES,ESOC-SES-00000026,admissao,2017-02-19,301,original,REC-2017-SES-618369
Mariana Duarte Melo,74047112828,1996-02-06,SES,ESOC-SES-00000027,admissao,2020-09-24,301,original,REC-2020-SES-740471
Nicolas Correia Costa,16388612180,1988-11-28,SES,ESOC-SES-00000028,admissao,2017-05-03,301,original,REC-2017-SES-163886
Leonardo Rodrigues Vieira,66824799726,1962-03-11,SES,ESOC-SES-00000029,admissao,1997-01-27,301,original,REC-1997-SES-668247
Otávio Vieira Souza,24092452004,1998-02-21,SES,ESOC-SES-00000030,admissao,2018-08-05,301,original,REC-2018-SES-240924
Leonardo Nunes Barbosa,54705723074,2000-01-02,SES,ESOC-SES-00000031,admissao,2019-10-15,301,original,REC-2019-SES-547057
Patrícia Ferreira Lima,28478457470,1984-05-17,SES,ESOC-SES-00000032,admissao,2017-06-09,301,original,REC-2017-SES-284784
Tatiana Santos Pinto,43021076696,1978-07-22,SES,ESOC-SES-00000033,admissao,2015-05-27,301,original,REC-2015-SES-430210
Felipe Ribeiro Vieira,51708310487,1962-08-09,SES,ESOC-SES-00000034,admissao,2012-06-11,301,original,REC-2012-SES-517083
André Freitas Melo,53260093079,1994-01-04,PM,ESOC-PM-00000035,admissao,2019-05-08,301,original,REC-2019-PM-532600
Carla Santos Dias,88766845653,1980-02-12,PM,ESOC-PM-00000036,admissao,2001-03-12,301,original,REC-2001-PM-887668
Hugo Ribeiro Moura,48843613006,1975-01-20,PM,ESOC-PM-00000037,admissao,2022-03-06,301,original,REC-2022-PM-488436
Camila Fernandes Lopes,76893189753,1970-11-10,PM,ESOC-PM-00000038,admissao,2020-05-21,301,original,REC-2020-PM-768931
Otávio Cardoso Fernandes,95504476500,1973-09-22,PM,ESOC-PM-00000039,admissao,2014-07-15,301,original,REC-2014-PM-955044
Marina Teixeira Carvalho,86304111126,2001-09-09,PM,ESOC-PM-00000040,admissao,2023-12-09,301,original,REC-2023-PM-863041
Paulo Costa Ramos,43508719936,1996-06-17,PM,ESOC-PM-00000041,admissao,2025-06-01,301,original,REC-2025-PM-435087
Camila Vieira Cardoso,08923282154,1998-03-04,PM,ESOC-PM-00000042,admissao,2024-07-15,301,original,REC-2024-PM-089232
Sofia Rocha Araújo,62677948575,1985-05-22,PM,ESOC-PM-00000043,admissao,2007-11-24,301,original,REC-2007-PM-626779
Leonardo Costa Nunes,14530164659,1969-03-15,PM,ESOC-PM-00000044,admissao,1995-07-20,301,original,REC-1995-PM-145301
