nome,cpf,dataNascimento,orgao,dataEntrada,dataSaida,matricula,cargo,tipoVinculo,salario,unidadeLotacao,status,sexo,estadoCivil,cor,nacionalidade,email,telefone,avaliacaoDesempenho,cicloAvaliacao
Paulo Rocha Lima,97726275154,27/12/1969,PGE,14/02/1996,,GES-PGE-000001,Técnico,efetivo,13238.5,Unidade PGE - Setor 6,ativo,F,solteiro,parda,Brasileira,servidor.97726275154@goias.gov.br,(62) 92535-4582,3.5,2025
Patrícia Duarte Rocha,03373000203,19/05/1962,SEAD,05/03/2020,,GES-SEAD-000001,Pedagogo,efetivo,12270.34,Unidade SEAD - Setor 1,ativo,M,viúvo,negra,Brasileira,servidor.03373000203@goias.gov.br,(62) 95552-3547,3.4,2024
Camila Barros Barbosa,47938508470,03/03/1969,SEAD,28/02/1999,,GES-SEAD-000002,Administrativo,efetivo,9073.87,Unidade SEAD - Setor 25,ativo,M,união estável,negra,Brasileira,servidor.47938508470@goias.gov.br,(62) 96925-4150,4.4,2023
Olívia Alves Melo,26400286500,11/06/1980,SEAD,04/06/2011,04/07/2021,GES-SEAD-000003,Professor,efetivo,12559.09,Unidade SEAD - Setor 11,exonerado,F,divorciada,branca,Brasileira,servidor.26400286500@goias.gov.br,(62) 95374-2169,4.2,2023
Rafael Machado Rocha,35503310373,17/12/1981,ECONOMIA,16/04/2007,,GES-ECONOMIA-000001,Advogado,comissionado,11879.2,Unidade ECONOMIA - Setor 15,ativo,M,divorciada,amarela,Brasileira,servidor.35503310373@goias.gov.br,(62) 95386-2084,3.4,2025
Felipe Vieira Gomes,55839242683,25/03/1988,ECONOMIA,30/12/2010,,GES-ECONOMIA-000002,Professor,efetivo,11516.37,Unidade ECONOMIA - Setor 35,ativo,F,viúvo,amarela,Brasileira,servidor.55839242683@goias.gov.br,(62) 96930-4593,5.0,2023
Daniel Pereira Gomes,44139573341,17/09/2005,ECONOMIA,03/02/2025,,GES-ECONOMIA-000003,Administrador,efetivo,10761.63,Unidade ECONOMIA - Setor 39,ativo,M,viúvo,amarela,Brasileira,servidor.44139573341@goias.gov.br,(62) 98668-9669,3.5,2025
Patrícia Cardoso Freitas,58039101123,11/01/1961,ECONOMIA,07/07/2025,,GES-ECONOMIA-000004,Técnico,efetivo,4650.45,Unidade ECONOMIA - Setor 1,ativo,F,união estável,branca,Brasileira,servidor.58039101123@goias.gov.br,(62) 99317-2743,4.7,2024
Diego Ribeiro Fernandes,89363289800,18/07/2005,DETRAN,01/04/2025,,GES-DETRAN-000001,Contador,comissionado,9807.65,Unidade DETRAN - Setor 32,ativo,M,solteira,negra,Brasileira,servidor.89363289800@goias.gov.br,(62) 96038-4923,3.1,2025
Eduarda Fernandes Lima,99169391440,24/01/1967,DETRAN,04/11/1998,,GES-DETRAN-000002,Contador,efetivo,13878.13,Unidade DETRAN - Setor 11,ativo,F,união estável,amarela,Brasileira,servidor.99169391440@goias.gov.br,(62) 94470-9835,4.5,2025
Diego Nunes Castro,14761923164,17/01/1978,SSP,10/01/2010,,GES-SSP-000001,Pedagogo,efetivo,5428.96,Unidade SSP - Setor 22,ativo,M,união estável,branca,Brasileira,servidor.14761923164@goias.gov.br,(62) 94608-1117,3.1,2025
Carla Freitas Rodrigues,15691763377,13/04/1965,SSP,08/04/2005,,GES-SSP-000002,Contador,efetivo,10627.04,Unidade SSP - Setor 14,ativo,M,viúva,branca,Brasileira,servidor.15691763377@goias.gov.br,(62) 98749-7669,3.4,2023
Juliana Souza Alves,33687283186,02/09/1998,CBM,23/08/2020,,GES-CBM-000001,Administrativo,efetivo,6769.84,Unidade CBM - Setor 7,ativo,M,casada,branca,Brasileira,servidor.33687283186@goias.gov.br,(62) 99786-8350,3.3,2023
Eduarda Nunes Machado,95672687113,27/12/1984,CBM,27/09/2023,,GES-CBM-000002,Técnico,efetivo,14491.6,Unidade CBM - Setor 1,ativo,M,casada,branca,Brasileira,servidor.95672687113@goias.gov.br,(62) 97658-8956,4.0,2024
Elisa Barbosa Vieira,17323271223,05/04/1965,CBM,21/05/2002,,GES-CBM-000003,Motorista,efetivo,14000.62,Unidade CBM - Setor 36,ativo,F,casado,branca,Brasileira,servidor.17323271223@goias.gov.br,(62) 95861-4566,4.9,2025
Tatiana Costa Correia,01081049073,20/06/1965,DGPP,25/01/2009,,GES-DGPP-000001,Contador,efetivo,14041.11,Unidade DGPP - Setor 6,ativo,M,solteira,parda,Brasileira,servidor.01081049073@goias.gov.br,(62) 94853-7615,3.2,2025
Gustavo Cavalcanti Pinto,48408718681,01/02/1982,DGPP,13/11/2001,,GES-DGPP-000002,Contador,efetivo,5850.96,Unidade DGPP - Setor 21,ativo,M,divorciado,amarela,Brasileira,servidor.48408718681@goias.gov.br,(62) 93144-5915,3.9,2023
Samuel Alves Rodrigues,09546723215,01/11/1960,DGPP,23/07/2015,,GES-DGPP-000003,Analista,efetivo,5902.84,Unidade DGPP - Setor 23,ativo,M,casada,negra,Brasileira,servidor.09546723215@goias.gov.br,(62) 95669-3584,3.9,2025
