nome,cpf,data_nascimento,sigla_orgao,data_admissao,data_saida,matricula,cargo,tipo_vinculo,salario_base,lotacao,status_servidor
Paulo Rocha Lima,977.262.751-54,1969-12-27,PGE,1996-02-14,,RH-PGE-000001,Técnico,efetivo,13238.5,Unidade PGE - Setor 6,ativo
Patrícia Duarte Rocha,033.730.002-03,1962-05-19,SEAD,2020-03-05,,RH-SEAD-000001,Pedagogo,efetivo,12270.34,Unidade SEAD - Setor 1,ativo
Camila Barros Barbosa,479.385.084-70,1969-03-03,SEAD,1999-02-28,,RH-SEAD-000002,Administrativo,efetivo,9073.87,Unidade SEAD - Setor 25,ativo
Olívia Alves Melo,264.002.865-00,1980-06-11,SEAD,2011-06-04,2021-07-04,RH-SEAD-000003,Professor,efetivo,12559.09,Unidade SEAD - Setor 11,exonerado
Rafael Machado Rocha,355.033.103-73,1981-12-17,ECONOMIA,2007-04-16,,RH-ECONOMIA-000001,Advogado,comissionado,11879.2,Unidade ECONOMIA - Setor 15,ativo
Felipe Vieira Gomes,558.392.426-83,1988-03-25,ECONOMIA,2010-12-30,,RH-ECONOMIA-000002,Professor,efetivo,11516.37,Unidade ECONOMIA - Setor 35,ativo
Daniel Pereira Gomes,441.395.733-41,2005-09-17,ECONOMIA,2025-02-03,,RH-ECONOMIA-000003,Administrador,efetivo,10761.63,Unidade ECONOMIA - Setor 39,ativo
Patrícia Cardoso Freitas,580.391.011-23,1961-01-11,ECONOMIA,2025-07-07,,RH-ECONOMIA-000004,Técnico,efetivo,4650.45,Unidade ECONOMIA - Setor 1,ativo
Diego Ribeiro Fernandes,893.632.898-00,2005-07-18,DETRAN,2025-04-01,,RH-DETRAN-000001,Contador,comissionado,9807.65,Unidade DETRAN - Setor 32,ativo
Eduarda Fernandes Lima,991.693.914-40,1967-01-24,DETRAN,1998-11-04,,RH-DETRAN-000002,Contador,efetivo,13878.13,Unidade DETRAN - Setor 11,ativo
Diego Nunes Castro,147.619.231-64,1978-01-17,SSP,2010-01-10,,RH-SSP-000001,Pedagogo,efetivo,5428.96,Unidade SSP - Setor 22,ativo
